;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29
Mean aerodynamic chord [m];4.39150116858798;4.390542258490764;4.390776885505551;4.369468568067763;4.369225744978598;4.369214581251019;4.368770224210428;4.369121950745282;4.369466006199438;4.346468136195975;4.346712279858178;4.346340791094244;4.346341993288266;4.346341989532396;4.34634198954413;4.344972824771651;4.345813989981078;4.345141313621917;4.363679453386943;4.365098850917238;4.364762580397199;4.365332340396859;4.365254708601656;4.357882834482142;4.357830078146695;4.3564683831532856;4.357261772999965;4.356656915631721;4.357122001740449
Dihedral [deg];-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975;-1.9411179199404975
Thickness over chord [-];0.1292145510074516;0.12921348548685285;0.1292177696467375;0.1292078085844381;0.1292067331928328;0.12920673320037196;0.1292045347993063;0.12920618594189726;0.12920839233073458;0.12919953349792354;0.1292006280231653;0.12920111980917362;0.12920111980917362;0.12920111980917362;0.12920111980917362;0.12920005330770337;0.12920220570198385;0.12920006182600688;0.12920068495728682;0.12920893892919738;0.12920783667353936;0.12920829940851816;0.12920779803332866;0.12921509926903696;0.1292178817927395;0.1292139502123123;0.12921726893930838;0.12921673962263713;0.12921835410181978
Leading edge root location [m];17.850841155323923;17.818188631393408;17.871615535563077;17.469322207486343;17.4611793794001;17.468911391725623;17.463267745655315;17.468717749251162;17.462147954581077;17.128472583073084;17.185014894226825;17.173569709187678;17.173245191673878;17.173246205528656;17.17324620236125;17.175316971419853;17.166806539481517;17.17157736677066;17.558754629170792;17.55254287507332;17.554096836605687;17.554579883939514;17.551903048858673;16.57050203682324;16.585414290375883;16.626516206287626;16.655109708474765;16.61688607359141;16.614051362827755
Fuselage length [m];50.301067531421545;50.3012537105433;50.299569268693034;49.472564728749134;49.47290675064622;49.472648599341696;49.47284405208774;49.47264114761137;49.473150692186465;48.644660382064544;48.67211656901066;48.67211656901066;48.67211656901066;48.67211656901066;48.67211656901066;48.67211656901066;48.67211656901066;48.67211656901066;49.484916569010664;49.484916569010664;49.484916569010664;49.484916569010664;49.484916569010664;47.59863527701504;47.5990375059788;47.632440668443635;47.632440668443635;47.632440668443635;47.632440668443635
Fuselage outer diameter [m];6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.6704003115772466;6.6704003115772466;6.6704003115772466;6.6704003115772466;6.6704003115772466;6.6704003115772466
Nosecone length [m];7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;8.22682705094527;8.22682705094527;8.22682705094527;8.22682705094527;8.22682705094527;8.22682705094527
Tailcone length [m];13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;14.674880685469944;14.674880685469944;14.674880685469944;14.674880685469944;14.674880685469944;14.674880685469944
Cabin length [m];36.80255096241088;36.80273714153264;36.80105269968237;35.97404815973847;35.974390181635556;35.974132030331035;35.974327483077076;35.97412457860071;35.974634123175804;35.14614381305388;35.1736;35.1736;35.1736;35.1736;35.1736;35.1736;35.1736;35.1736;35.9864;35.9864;35.9864;35.9864;35.9864;33.51419460857141;33.514596837535166;33.548;33.548;33.548;33.548
Forward cg [%MAC];0.06898582225072508;0.07311773636114352;0.07256437387543854;0.07871549208748105;0.07981392528531533;0.07883138699652592;0.07913833694083483;0.07887812841878525;0.07964894167220932;0.08901333422715976;0.09114233731928903;0.09167308933102916;0.09172952808244442;0.09172935175704705;0.0917293523079104;0.09671813355050057;0.09877637572476494;0.09772452299834744;0.09155798552394409;0.09281438651054053;0.09220467301561694;0.09234820875158575;0.09322969578875914;0.0837245245135648;0.0803966533896654;0.08704479573428231;0.09028483181302427;0.08891935805918436;0.089667031532743
Aft cg [%MAC];0.8472533278733587;0.8506262724078504;0.840621953344155;0.8367909165024036;0.8377244455931392;0.8369798852932891;0.8371208617954339;0.8370463004619698;0.8375677939260341;0.8191474403332447;0.8116550785930725;0.8115557081293941;0.8116043987199036;0.8116042466012146;0.8116042470764528;0.8082077565867269;0.8100209939763469;0.8091980585301694;0.8127989230084844;0.8137278660562357;0.8131058795405284;0.8131407764446146;0.8141414498614672;0.8344866491151682;0.8314290945529246;0.8235879503425897;0.826315494603467;0.8238408241318301;0.8244214200973162
Horizontal tail surface area [m^2];50.60543088962885;50.72730864780344;50.348755190994105;49.62359786034168;49.85571707582285;49.66535568069913;49.84532203925797;49.663249820178194;49.81366817510226;48.53814878058703;48.16729477581526;48.15906195845177;48.15908859996341;48.159088516730556;48.159088516990586;47.94074864861729;48.05335049607049;47.94446680224458;48.25962805277658;48.29102849738731;48.331018322856806;48.24875258276005;48.294477061786765;51.346569751691206;51.29804725441923;50.74624656694904;51.001066703985096;50.939654311498714;50.99779475505559
